municipality,reporting_unit,contest,candidate,votes,county,ctv
BERLIN,WARDS 1-6,PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE,4,GREEN LAKE,C
BERLIN,WARDS 1-6,PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA,2,GREEN LAKE,C
BERLIN,WARDS 1-6,PRESIDENT/VICE PRESIDENT,CORNEL WEST/MELINA ABDULLAH,2,GREEN LAKE,C
BERLIN,WARDS 1-6,PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN",13,GREEN LAKE,C
BERLIN,WARDS 1-6,PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (WRITE IN),0,GREEN LAKE,C
BERLIN,WARDS 1-6,PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (WRITE IN),0,GREEN LAKE,C
BERLIN,WARDS 1-6,PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (WRITE IN),0,GREEN LAKE,C
BERLIN,WARDS 1-6,PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (WRITE IN),0,GREEN LAKE,C
BERLIN,WARDS 1-6,PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (WRITE IN),0,GREEN LAKE,C
BERLIN,WARDS 1-6,PRESIDENT/VICE PRESIDENT,"ANDRE RAMONE MCNEIL, SR. (WRITE IN)",0,GREEN LAKE,C
